symbol,company,sector,headquarters,fecha_fundada
MMM,3M,Industriales,"Saint Paul, Minnesota",1902
AOS,A. O. Smith,Industriales,"Milwaukee, Wisconsin",1916
ABT,Abbott,Cuidado de Salud,"North Chicago, Illinois",1888
A123,AbbVie,Cuidado de Salud,"North Chicago, Illinois",2013 (1888)
ACN,Accenture,Tecnología Informática,"Dublin, Ireland",1989
ATVI,Activision Blizzard,Servicios de Comunicación,"Santa Monica, California",2008
ADM,ADM,Productos básicos,"Chicago, Illinois",1902
ADBE,Adobe Inc.,Tecnología Informática,"San Jose, California",1982
ADP,ADP,Tecnología Informática,"Roseland, New Jersey",1949
AAP,Advance Auto Parts,Consumo Discrecional,"Raleigh, North Carolina",1932
AES,AES Corporation,Utilidades,"Arlington, Virginia",1981
AFL,Aflac,Finanzas,"Columbus, Georgia",1955
A,Agilent Technologies,Cuidado de Salud,"Santa Clara, California",1999
APD,Air Products and Chemicals,Materiales,"Allentown, Pensilvania",1940
AKAM,Akamai,Tecnología Informática,"Cambridge, Massachusetts",1998
ALK,Alaska Air Group,Industriales,"SeaTac, Washington",1985
ALB,Albemarle Corporation,Materiales,"Charlotte, North Carolina",1994
ARE,Alexandria Real Estate Equities,Bienes Raíces,"Pasadena, California",1994
ALGN,Align Technology,Cuidado de Salud,"Tempe, Arizona",1997
ALLE,Allegion,Industriales,"New York City, New York",1908
LNT,Alliant Energy,Utilidades,"Madison, Wisconsin",1917
ALL,Allstate,Finanzas,"Northfield Township, Illinois",1931
GOOGL,Alphabet Inc. (Class A),Servicios de Comunicación,"Mountain View, California",1998
GOOG,Alphabet Inc. (Class C),Servicios de Comunicación,"Mountain View, California",1998
MO,Altria,Productos básicos,"Richmond, Virginia",1985
AMZN,Amazon,Consumo Discrecional,"Seattle, Washington",1994
AMCR,Amcor,Materiales,"Warmley, Bristol, United Kingdom",2019 (1860)
AMD,AMD,Tecnología Informática,"Santa Clara, California",1969
AEE,Ameren,Utilidades,"St. Louis, Missouri",1902
AAL,American Airlines Group,Industriales,"Fort Worth, Texas",1934
AEP,American Electric Power,Utilidades,"Columbus, Ohio",1906
AXP,American Express,Finanzas,"New York City, New York",1850
AIG,American International Group,Finanzas,"New York City, New York",1919
AMT,American Tower,Bienes Raíces,"Boston, Massachusetts",1995
AWK,American Water Works,Utilidades,"Camden, New Jersey",1886
AMP,Ameriprise Financial,Finanzas,"Minneapolis, Minnesota",1894
ABC,AmerisourceBergen,Cuidado de Salud,"Conshohocken, Pennsylvania",1985
